"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
1534;"pollyannaism";"pah-lee-an-uh-ism";"the overly optimistic and benevolently cheerful state of mind and point of view";"n"
1535;"pollyanna";"pah-lee-an-uh";"a person characterized by irrepressible optimism and a tendency to find good in everything";"n"
1571;"chasten";"chay-sin";"to correct by punishment or suffering, to discipline; to cause to be more humble or restrained";"v"
1572;"enamel";"ih-nam-ul";"a usually opaque glassy composition applied by fusion to the surface of metal, glass, or pottery; a hard substance that forms a thin layer capping the teeth";"n"
1573;"calcareous";"kal-kair-e-is";"resembling calcite or calcium carbonate especially in hardness";"adj"
1574;"quale";"kwah-lee";"a quality or property as perceived or experienced by a person";"n"
1575;"poltergeist";"pol-tur-guyst";"a noisy usually mischievous ghost held to be responsible for unexplained noises";"n"
1576;"ecchymosis";"eh-kih-mo-sis";"the escape of blood into the tissues from ruptured blood vessels";"n"
1577;"quire";"kwy-er";"a collection of 24 or sometimes 25 sheets of paper of the same size and quality; one twentieth of a ream";"n"
1578;"ream";"reem";"a quantity of paper being 480, 500, or 516 sheets; a great amount";"n"
1579;"garnish";"gar-nish";"to add decorative or savory touches to, decorate, embellish";"v"
1580;"portentous";"por-ten-tus";"eliciting amazement or wonder; self-consciously solemn or important";"adj"
1581;"portend";"por-tend";"to give an omen or anticipatory sign of; indicate, signify";"v"
1582;"portent";"por-tent";"something that foreshadows a coming event; prophetic indication or significance; marvel, prodigy";"n"
1583;"port";"port";"left side of ship";"n"
1584;"poo-bah";"poo-bah";"a person holding many public or private offices; a person in high position or of great influence";"n"
1585;"popinjay";"pa-pin-jay";"a strutting supercilious person";"n"
1586;"ponderous";"pon-dur-us";"of very great weight; unwieldy or clumsy because of weight and size; oppressively or unpleasantly dull";"adj"
1587;"poltroon";"n";"a spiritless coward";"paul-troon"
1588;"bidet";"bih-day";"a bathroom fixture used especially for bathing the external genitals and the anal region";"n"
1589;"orgone";"or-goan";"a pseudo-scientific spiritual concept variously described as an esoteric energy or hypothetical universal life force";"n"
1590;"esoteric";"es-uh-tear-ik";"difficult to understand; requiring or exhibiting knowledge that is restricted to a small group; of special, rare, or unusual interest";"adj"
1591;"vitreous";"vih-tree-is";"resembling glass, glassy; characterized by low porosity and usually translucence due to the presence of a glassy phase";"adj"
1592;"topiary";"toe-pee-air-ee";"of, relating to, or being the practice or art of training, cutting, and trimming trees or shrubs into odd or ornamental shapes";"adj"
1593;"primogeniture";"pry-mo-jen-ih-chur";"the state of being the firstborn of the children of the same parents; an exclusive right of inheritance belonging to the eldest son";"n"
1594;"dint";"dint";"force, power; by force of, because of";"n"
1595;"striation";"stry-ay-shin";"a minute groove, scratch, or channel especially when one of a parallel series; any of the alternate dark and light cross bands of striated muscle";"n"
1596;"faze";"fayz";"to disturb the composure of; disconcert, daunt";"v"
1597;"frottage";"froh-tahj";"the act of obtaining sexual stimulation by rubbing against a person or object";"n"
1599;"fusillade";"fyoo-sih-lod";"a number of shots fired simultaneously or in rapid succession; something that gives the effect of a fusillade; a spirited outburst, especially of criticism";"n"
1600;"acquisitive";"uh-kwih-zih-tiv";"strongly desirous of acquiring and possessing";"adj"
1601;"supersede";"soo-per-seed";"to take the place or position of; to displace in favor of another; to force out of use as inferior";"v"
1602;"gritty";"grih-tee";"courageously persistent, plucky; having strong qualities of tough uncompromising realism";"adj"
1603;"lade";"laid";"to put a load or burden on or in, load; to load heavily or oppressively; to put or place as a load especially for shipment";"v"
1604;"burgeon";"bur-jin";"to send forth new growth, sprout; to grow and expand rapidly, flourish";"v"
1605;"idempotent";"aye-dem-poh-tint";"When making multiple identical function calls, it has the same effect as making a single request; a function which when applied to itself under a given binary operation (such as multiplication) equals itself.";"adj"
1606;"inkhorn";"ink-horn";"ostentatiously learned, pedantic";"adj"
1607;"afflatus";"uh-flay-tus";"a divine imparting of knowledge or power; inspiration";"n"
1608;"progeny";"prah-jeh-nee";"descendants, children; outcome, product; a body of followers, disciples, or successors";"n"
1609;"sire";"sigh-er";"to bring into being, originate; to procreate as the father";"v"
1610;"beget";"bih-get";"to procreate as the father; to produce especially as an effect or outgrowth";"v"
1611;"balkanize";"ball-kuh-nize";"to break up (a region, a group, etc.) into smaller and often hostile units; divide, compartmentalize";"v"
1612;"perpetrate";"per-puh-trate";"to bring about or carry out, commit; to produce, perform, or execute";"v"
1613;"bravura";"bruh-vyur-uh";"marked by a dazzling display of skill; ornate, showy";"adj"
1614;"idiosyncrasy";"ih-dee-uh-sin-kruh-see";"characteristic peculiarity, eccentricity; a peculiarity of constitution or temperament; an individualizing characteristic or quality";"n"
1615;"rapacious";"ruh-pay-shus";"excessively grasping or covetous; living on prey; ravenous";"adj"
1618;"double entendre";"duh-bul on-tawn-druh";"a word or expression capable of two interpretations with one usually having sexual implications";"n"
1619;"phantasmagoria";"fan-taz-muh-gor-ee-uh";"an exhibition of optical effects and illusions; a constantly shifting complex succession of things seen or imagined";"n"
1620;"carte blanche";"kart-blaunch";"complete freedom to act as one wishes or thinks best";"n"
1621;"a la carte";"ah-luh-kart";"according to a menu or list that prices items separately";"adj"
1622;"orthagonal";"or-thaw-guh-nul";"intersecting or lying at right angles; statistically independent";"adj"
1623;"agency";"ay-jin-see";"the capacity, condition, or state of acting or of exerting power";"n"
1624;"uncouth";"un-kooth";"awkward and uncultivated in appearance, manner, or behavior; rude; lacking in polish and grace";"adj"
1625;"pratfall";"prat-fawl";"a humiliating mishap or blunder; a fall on the buttocks";"n"
1626;"pervasive";"pur-vay-siv";"existing in or spreading through every part of something";"adj"
1627;"puerile";"pyur-il";"juvenile; childish, silly";"adj"
1628;"aphorism";"ah-fur-iz-um";"a concise statement of a principle; a terse formulation of a truth or sentiment; adage";"n"
1629;"terse";"turse";"using few words, devoid of superfluity; smoothly elegant, polished";"adj"
1630;"gnomish";"no-mik";"characterized by aphorism and adages; full of clever and concise sayings";"adj"
1631;"shrive";"shrive";"to free from guilt; to administer the sacrament of reconciliation to";"v"
1632;"covenant";"kuh-vih-nint";"a usually formal, solemn, and binding agreement";"n"
1633;"pithy";"pih-thee";"consisting of or abounding in importance; having substance and point";"adj"
1634;"aloof";"uh-loof";"removed or distant either physically or emotionally";"adj"
1635;"gormless";"gorm-liss";"lacking intelligence; stupid";"adj"
1636;"perfidy";"pur-fih-dee";"the quality or state of being faithless or disloyal; treachery; an act or an instance of disloyalty";"n"
1637;"funicular";"fyuh-nih-kyuh-lur";"having the form of or associated with a cord usually under tension";"adj"
1638;"variegate";"vair-ee-uh-gate";"to diversify in external appearance especially with different colors; to enliven or give interest to by means of variety";"v"
1639;"adjutant";"ah-jih-tint";"one who helps; assistant";"n"
1640;"stochastic";"stuh-kas-tik";"random, involving a random variable; involving chance or probability";"adj"
1641;"cavalier";"kah-vuh-leer";"marked by or given to offhand and often disdainful dismissal of important matters";"adj"
1642;"debonair";"deh-buh-nair";"suave, notably polite or polished in manner; lighthearted, nonchalant";"adj"
1643;"urbane";"er-bane";"notably polite or polished in manner";"adj"
1644;"cenotaph";"seh-nuh-taf";"a tomb or a monument erected in honor of a person or group of persons whose remains are elsewhere";"n"
1645;"abstemious";"ab-stee-me-us";"marked by restraint especially in the eating of food or drinking of alcohol";"adj"
1646;"charisma";"kuh-riz-muh";"a personal magic of leadership arousing special popular loyalty or enthusiasm for a public figure; a special magnetic charm or appeal";"n"
1647;"nonplussed";"non-plust";"unsure about what to say, think, or do; perplexed; not bothered, surprised, or impressed by something (chiefly US)";"adj"
1648;"labile";"lay-bi-ul";"readily open to change";"adj"
1649;"incontinent";"in-con-tih-nint";"lacking self-restraint; not being under control; unable to voluntarily control retention of urine or feces in the body";"adj"
1650;"endogamy";"en-dah-guh-mee";"marriage within a specific group as required by custom or law";"n"
1651;"redound";"rih-dound";"to become transferred or added; to have an effect for good or ill";"v"
1652;"devil-may-care";"deh-vil-may-care";"easygoing, carefree";"adj"
1653;"bohemian";"bo-hee-mee-in";"a person (such as a writer or an artist) living an unconventional life usually in a colony with others; vagabond, wanderer";"adj"
1654;"disillusioned";"dis-ih-loo-zhind";"disappointed, dissatisfied";"adj"
1655;"desiccate";"deh-sih-kate";"to dry up; to preserve a food by drying; to drain of emotional or intellectual vitality";"v"
1656;"seminal";"seh-mih-nul";"containing or contributing the seeds of later development; creative, original";"adj"
1657;"orthotic";"or-thah-tik";"a device (such as a brace or splint) for supporting, immobilizing, or treating muscles, joints, or skeletal parts which are weak, ineffective, deformed, or injured";"adj"
1658;"rapport";"rah-pour";"a friendly, harmonious relationship";"n"
1659;"prima facie";"pry-muh-fay-shuh";"at first view; on the first appearance";"adv"
1660;"bucolic";"byoo-kah-lik";"of or relating to shepherds or herdsmen; pastoral, idyllic";"adj"
1661;"ablution";"uh-bloo-sihn";"the washing of one's body or part of it (as in a religious rite)";"n"
1662;"cavalcade";"kah-vul-kayd";"a procession of vehicles or ships; a dramatic sequence or procession";"n"
1663;"purloin";"per-LOIN";"to appropriate wrongfully and often by a breach of trust";"v"
1664;"threnody";"threh-nih-dee";"a song of lamentation for the dead; elegy";"n"
1665;"elocution";"eh-luh-kyoo-shin";"a style of speaking especially in public; the art of effective public speaking";"n"
1666;"pictorial";"pik-tor-ee-ul";"of, relating to, or consisting of pictures; suggesting or conveying visual images";"adj"
1667;"tandem";"tan-dum";"in partnership or conjunction; one after or behind another";"adv"
1668;"arpeggio";"ar-pej-ee-oh";"production of the tones of a chord in succession and not simultaneously";"n"
1669;"winnow";"wih-no";"to get rid of (something undesirable or unwanted); separate, sift";"v"
1670;"antebellum";"an-tih-bell-um";"existing before a war, especially before the American Civil War";"adj"
1671;"vicissitude";"vih-sis-ih-tood";"the quality or state of being changeable; a fluctuation of state or condition";"n"
1672;"overture";"oh-ver-chur";"an initiative toward agreement or action; something introductory, prelude; the orchestral introduction to a musical dramatic work";"n"
1673;"steel";"steel";"to fill with resolution or determination";"v"
1674;"wrest";"rest";"to pull, force, or move by violent wringing or twisting movements; to gain with difficulty by force";"v"
1675;"time-share";"time-share";"joint ownership or rental of a vacation lodging (such as a condominium) by several persons with each occupying the premises in turn for short periods";"n"
1676;"eschew";"eh-shoo";"to avoid habitually especially on moral or practical grounds; shun";"v"
1677;"countenance";"kown-tih-nints";"look, expression; mental composure; face, visage";"n"
1678;"visage";"vih-sij";"the face, countenance, or appearance of a person or sometimes an animal; aspect, appearance";"n"
1679;"deign";"dayn";"to condescend reluctantly and with a strong sense of the affront to one's superiority that is involved; stoop";"v"
1680;"mutually exclusive";"myoo-chwuh-lee-eks-kloo-siv";"being related such that each excludes or precludes the other; incompatible";"adj"
1681;"virtuoso";"ver-choo-oh-so";"one who excels in the technique of an art (especially music); a person who has great skill at some endeavor";"n"
1682;"egotistical";"ee-guh-tis-tik-ul";"characterized an exaggerated sense of self-importance";"adj"
1683;"egotism";"ee-guh-tih-zim";"an exaggerated sense of self-importance, conceit; the practice of talking about oneself too much";"n"
1684;"extemporize";"ik-stem-puh-rize";"to do something in the spur of the moment; to get along in a makeshift manner";"v"
1685;"bassinet";"bah-sih-net";"a baby's basketlike bed often with a hood over one end";"n"
1686;"irascible";"ih-rah-sih-bul";"marked by hot temper and easily provoked anger";"adj"
1687;"fay";"fay";"resembling an elf or fairy";"adj"
1688;"crass";"krass";"lacking sensitivity, refinement, or intelligence; guided by or indicative of base or materialistic values";"adj"
1689;"transvestite";"trans-ves-tite";"a person who wears clothes designed for the opposite sex";"n"
1690;"attenuate";"uh-ten-yoo-ate";"to lessen the amount, force, magnitude, or value of; weaken; to reduce the severity, virulence, or vitality of; to make thin or slender; to make thin in consistency";"v"
1691;"rarefy";"rare-ih-fie";"to make rare, thin, porous, or less dense; to make more spiritual, refined, or abstruse";"v"
1692;"philanderer";"fuh-lan-der-er";"a man who has sexual relations with many women; a man who is unfaithful to his wife or partner";"n"
1693;"stricken";"strih-kin";"afflicted or overwhelmed by or as if by disease, misfortune, or sorrow; made incapable or unfit; hit or wounded by or as if by a missile";"adj"
1694;"libido";"lih-bee-doe";"sexual drive";"n"
1695;"deplore";"dih-plor";"to feel or express grief for; to regret strongly; to consider unfortunate or deserving of deprecation";"v"
1696;"glutton";"gluh-tun";"one that has a great capacity for accepting or enduring something; one given habitually to greedy and voracious eating and drinking";"n"
1697;"procure";"pruh-kyoor";"to get possession of; to obtain by particular care and effort; to bring about or achieve by care and effort";"v"
1698;"libidinous";"luh-bih-dih-nus";"having or marked by lustful desires";"adj"
1699;"furtive";"fir-tiv";"done in a quiet and secretive way to avoid being noticed; expressive of stealth; obtained underhandedly";"adj"
1700;"maven";"may-vin";"one who is experienced or knowledgeable; expert";"n"
1701;"quarry";"kwor-ee";"one that is sought or pursued; prey, game";"n"
1702;"puckish";"puh-kish";"impish, whimsical, mischievous";"adj"
1703;"rambunctious";"ram-bunk-shus";"marked by uncontrollable exuberance; unruly";"adj"
1704;"renal";"ree-nul";"of, relating to, involving, or located in the region of the kidneys";"adj"
1705;"dyke";"dyke";"lesbian (usually offensive)";"n"
1706;"mink";"mink";"either of two slender-bodied semiaquatic carnivorous mammals of the weasel family that have partially webbed feet, a rather short bushy tail, and a soft thick coat";"n"
1707;"spangle";"span-gul";"a small glittering object or particle; a small plate of shining metal or plastic used for ornamentation especially on clothing";"n"
1708;"plush";"plush";"notably luxurious; rich, full";"adj"
1709;"robust";"ro-bust";"having or exhibiting strength or vigorous health; strongly formed or constructed; full-bodied";"adj"
1710;"demeanor";"dih-mee-nur";"behavior toward others; outward manner";"n"
1711;"fain";"fayn";"willing; being obliged or constrained, compelled; by preference; by desire";"adj"
1712;"tithe";"tiithe";"a tenth part of something paid as a voluntary contribution or as a tax especially for the support of a religious establishment; a small tax or levy";"n"
1713;"levy";"leh-vee";"the imposition or collection of a tax; the enlistment or conscription of men for military service";"n"
1714;"maverick";"mav-rik";"an independent individual who does not go along with a group or party";"n"
1715;"plenary";"pleh-nuh-ree";"complete in every respect, absolute; fully attended or constituted by all entitled to be present";"adj"
1716;"hearken";"har-kin";"listen; to give respectful attention; to bring to mind something in the past";"v"
1717;"infallible";"in-fah-lih-bul";"incapable of error; not liable to mislead, deceive, or disappoint";"adj"
1718;"whim";"wim";"a capricious or eccentric and often sudden idea or turn of the mind; fancy";"n"
1719;"embattle";"im-bah-til";"to arrange in order of battle; prepare for battle; fortify";"v"
1720;"insuperable";"in-soo-per-uh-bul";"incapable of being surmounted, overcome, passed over, or solved";"adj"
1721;"boilerplate";"boy-ler-plate";"standardized text; formulaic or hackneyed language";"n"
1722;"refactor ";"ree-fak-tur";"restructuring existing architecture without changing external behavior";"v"
1723;"flounce";"flounts";"to move with exaggerated jerky or bouncy motions; flounder, struggle";"v"
1724;"recidivism";"rih-sih-duh-vih-zum";"a tendency to relapse into a previous condition or mode of behavior; relapse into criminal behavior";"n"
1725;"oneiric";"oh-nie-rik";"of or relating to dreams; dreamy";"adj"
1726;"dogfooding";"dog-fooding";"when an organization uses its own product";"v"
1727;"portmanteau";"port-man-toe";"combining more than one use or quality; a word whose form and meaning are derived from a blending of two or more distinct forms (such as smog from smoke and fog)";"adj"
1728;"paragon";"pear-uh-gon";"a model of excellence or perfection";"n"
1729;"facsimile";"fak-sih-muh-lee";"an exact copy";"n"
1730;"vestigial";"veh-stih-jee-ul";"remaining as the last small part of something that existed before; (of a body part or organ) remaining in a form that is small or imperfectly developed and not able to function";"adj"
1731;"rheumatism";"roo-muh-tih-zum";"any of various conditions characterized by inflammation or pain in muscles, joints, or fibrous tissue";"n"
1732;"mononymous";"muh-nah-nih-mus";"a person who is known and addressed by a single name, or mononym";"adj"
1733;"quibble";"kwih-bul";"to evade the point of an argument by raising trivial objections about words";"v"
1734;"cavil";"kah-vul";"to raise trivial and frivolous objection";"v"
1735;"enumerate";"ih-noo-mer-ate";"to ascertain the number of, count; to specify one after another, list";"v"
1736;"catharsis";"kuh-thar-sis";"a purification or purgation that brings about spiritual renewal or release from tension";"n"
1737;"blasé";"blah-zay";"apathetic to pleasure or excitement as a result of excessive indulgence or enjoyment; unconcerned";"adj"
1738;"yen";"yen";"a strong desire or propensity; urge, craving";"n"
1739;"malapert";"mah-luh-pert";"impudently bold; saucy";"adj"
1740;"amalgamate";"uh-mal-guh-mate";"to merge into a single body; to unite";"v"
1741;"nuance";"noo-aunts";"a subtle distinction or variation; a subtle quality";"n"
1742;"circumspect";"sir-kum-spekt";"careful to consider all circumstances and possible consequences; prudent";"adj"
1743;"disburse";"dis-burse";"to pay out; expend (especially from a fund); to make a payment in settlement of";"v"
1744;"expend";"ik-spend";"to pay out, spend; to make use of for a specific purpose; utilize";"v"
1745;"apposite";"ah-puh-zit";"highly pertinent or appropriate; apt";"adj"
1746;"coitus";"ko-ih-tus";"physical union of male and female genitalia accompanied by rhythmic movements; sexual intercourse";"n"
1747;"offertory";"aw-fur-tor-ee";"the religious offering of bread and wine to God before they are consecrated";"n"
1748;"consternation";"kahn-ster-nay-shun";"amazement or dismay that hinders or throws into confusion";"n"
1749;"heuristic";"hyur-ih-stik";"involving or serving as an aid to learning, discovery, or problem-solving by experimental and especially trial-and-error methods";"adj"
1750;"geld";"geld";"to castrate; to deprive of a natural or essential part";"v"
1751;"paltry";"paul-tree";"inferior, trashy; mean, despicable; trivial; meager, measly";"adj"
1752;"forte";"for-tay";"a thing at which someone excels";"Part of Speech"
1753;"fatuous";"fah-choo-is";"complacently or inanely foolish; silly";"adj"
1754;"infatuate";"in-fah-choo-ate";"to cause to be foolish; deprive of sound judgment; to inspire with a foolish or extravagant love or admiration";"v"
1755;"amenable";"uh-men-uh-bul";"liable to be brought to account, answerable; readily brought to yield, submit, or cooperate; willing";"adj"
1756;"stymie";"sty-mee";"to present an obstacle to; stand in the way of";"v"
1757;"indelible";"in-del-ih-bul";"that cannot be removed, washed away, or erased; lasting; unforgettable, memorable";"adj"
1758;"pontificate";"pon-tih-fih-kate";"to speak or express opinions in a pompous or dogmatic way";"v"
1759;"dogmatic";"dog-mah-tik";"characterized by or given to the expression of opinions very strongly or positively as if they were facts";"adj"
1760;"gratuity";"gruh-too-ih-tee";"something given voluntarily or beyond obligation usually for some service; tip";"n"
1761;"docile";"dah-sul";"easily taught; easily led or managed, tractable";"adj"
1762;"repute";"rih-pyoot";"the character or status commonly ascribed to one, reputation; the state of being favorably known, spoken of, or esteemed";"n"
1763;"repute";"rih-pyoot";"believe, consider";"v"
1764;"dredge";"drej";"to dig, gather, or pull out; to search deeply";"Part of Speech"
1765;"terrace";"tear-iss";"a level paved area or platform next to a building; a patio or veranda.";"n"
1766;"xyl-";"zile";"wood";"pfx"
1767;"beneficent";"buh-neh-fih-sint";"doing or producing good; performing acts of kindness and charity; beneficial";"adj"
1768;"cuneiform";"kyoo-nee-uh-form";"having the shape of a wedge; composed of or written in wedge-shaped characters";"adj"
1769;"lenticular";"len-tik-yuh-ler";"having the shape of a double-convex lens (elliptical); of or relating to a lens";"adj"
1770;"anisotropic";"eh-ny-suh-trah-pik";"exhibiting properties with different values when measured in different directions";"adj"
1771;"dielectric";"die-uh-lek-trik";"a nonconductor of direct electric current; an insulator";"n"
1772;"bicameral";"by-kam-uh-rul";"having, consisting of, or based on two legislative bodies";"adj"
1773;"cromulent";"krah-myuh-lint";"acceptable or adequate";"adj"
1774;"femme fatale";"fem-fuh-tal";"a seductive woman who lures men into dangerous or compromising situations; a woman who attracts men by an aura of charm and mystery";"n"
1775;"aggrieve";"uh-greev";"to give pain or trouble to, distress; to inflict injury on";"v"
1776;"affidavit";"ah-fuh-day-vit";"a sworn statement in writing, made especially under oath, before an authorized magistrate or officer";"n"
1777;"exfiltrate";"eks-fil-trate";"to remove (someone) secretly from a hostile area";"v"
1778;"flambé";"flahm-bay";"to douse with a liquor and ignite";"adj"
1779;"armillary sphere";"ar-mih-lare-sfeer";"an old astronomical instrument composed of rings showing the positions of important circles of the celestial sphere";"n"
1780;"epigenesis";"eh-pih-jeh-nuh-sis";"development of a plant or animal from an egg or spore through a series of processes in which unorganized cell masses differentiate into organs and organ systems";"adj"
1781;"prognosticate";"prog-naw-stih-kate";"to foretell from signs or symptoms, predict; to give an indication of in advance, foreshadow";"v"
1782;"proponent";"pruh-poe-nint";"one who argues in favor of something, advocate";"n"
1783;"ornery";"or-nuh-ree";"having an irritable disposition; difficult to deal with or control";"adj"
1784;"debauchery";"dih-baw-chuh-ree";"extreme indulgence in bodily pleasures and especially sexual pleasures; behavior involving sex, drugs, alcohol, etc. that is often considered immoral";"n"
1785;"diminutive";"dih-min-yuh-tiv";"indicating small size and sometimes the state or quality of being familiarly known, lovable, pitiable, or contemptible; exceptionally or notably small, tiny";"adj"
1786;"patron";"pay-trin";"a person chosen, named, or honored as a special guardian, protector, or supporter; one who buys the goods or uses the services offered especially by an establishment";"n"
1787;"AWOL";"ay-wall";"absent without leave; absent often without notice or permission";"adj"
1788;"giddy";"gih-dee";"dizzy; lightheartedly silly; joyfully elated";"adj"
1789;"indigenous";"in-dih-jih-nuss";"produced, growing, living, or occurring natively or naturally in a particular region or environment; innate, inborn";"adj"
1790;"integral";"in-tih-grul";"essential to completeness; lacking nothing essential";"adj"
1791;"constituent";"kun-stih-chew-int";"an essential part, component";"n"
1792;"constituency";"kun-stih-chew-in-see";"a body of citizens entitled to elect a representative; the residents in an electoral district; a group or body that patronizes, supports, or offers representation";"n"
1793;"ubiquitous";"yoo-bih-kwuh-tis";"existing or being everywhere at the same time; constantly encountered, widespread";"adj"
1794;"periphery";"puh-rih-fuh-ree";"the perimeter of a circle or other closed curve; the external boundary or surface of a body; an area lying beyond the strict limits of a thing";"n"
1795;"sublease";"sub-leese";"a lease by a tenant of part or all of leased premises to another person but with the original tenant retaining some right or interest under the original lease";"n"
1796;"lease";"leese";"a contract by which one conveys real estate, equipment, or facilities for a specified term and for a specified rent";"n"
1797;"countermand";"kown-ter-mand";"to revoke (a command) by a contrary order; to recall or order back by a superseding contrary order";"v"
1798;"pungle";"pun-gul";"to make a payment or contribution of; pay, contribute";"v"
1799;"remittance";"rih-mih-tints";"transmittal of money";"n"
1800;"coin of the realm";"coin-of-the-realm";"something valued or used as if it were money in a particular sphere; the legal money of a country";"n"
1801;"tenacious";"tuh-nay-shis";"not easily pulled apart; persistent in maintaining, adhering to, or seeking something valued or desired";"adj"
1802;"footle";"foo-tul";"to talk or act foolishly; to waste time";"v"
1803;"muse";"myooze";"to become absorbed in thought; to think about something carefully and thoroughly";"v"
1804;"remaster";"re-mass-ter";"to create a new master of especially by altering or enhancing the sound quality of an older recording";"v"
1805;"laconic";"luh-kon-ik";"using or involving the use of a minimum of words; concise to the point of seeming rude or mysterious";"adj"
1806;"argot";"ar-go";"the jargon or slang of a particular group or class";"n"
1807;"ableism";"ay-bul-ih-zim";"discrimination or prejudice against individuals with disabilities";"n"
1808;"foist";"foyst";"to force another to accept especially by stealth or deceit; to pass off as genuine or worthy";"v"
1809;"niche";"neesh";"denoting or relating to products, services, or interests that appeal to a small, specialized section of the population";"adj"
1810;"brawn";"bronn";"full strong muscles; muscular strength";"n"
1811;"acculturation";"uh-kul-chur-ay-shin";"cultural modification of an individual, group, or people by adapting to or borrowing traits from another culture; the process by which a human being acquires the culture of a particular society from infancy";"n"
1812;"embouchure";"ahm-buh-sher";"the position and use of the lips, tongue, and teeth in playing a wind instrument; the mouthpiece of a musical instrument";"n"
1813;"emasculate";"ih-ma-skyuh-late";"to deprive of strength, vigor, or spirit; weaken; to deprive of virility or procreative power, castrate";"v"
1814;"virile";"veer-ul";"having traditionally masculine traits especially to a marked degree; energetic, vigorous; capable of functioning as a male in copulation";"adj"
1815;"maledict";"ma-luh-dikt";"curse, execrate";"v"
1816;"meek";"meek";"enduring injury with patience and without resentment, mild; submissive; not violent or strong";"adj"
1817;"eugenics";"yuh-jen-iks";"the practice or advocacy of controlled selective breeding of human populations to improve the population's genetic composition";"n"
1818;"aperture";"ah-per-chur";"an opening or open space, hole; the opening in a photographic lens that admits the light";"n"
1819;"antipode";"ann-tih-pode";"the exact opposite or contrary";"n"
1820;"sublunary";"sub-loo-nuh-ree";"of, relating to, or characteristic of the terrestrial world";"adj"
1821;"carnal";"kar-nul";"relating to or given to crude bodily pleasures and appetites; bodily";"adj"
1822;"corporeal";"kor-por-ee-ul";"having, consisting of, or relating to a physical material body";"adj"
1823;"entente";"on-tont";"an international understanding providing for a common course of action";"n"
1824;"progenitor";"pro-jeh-nih-ter";"an ancestor in the direct line; a biologically ancestral form; precursor, originator";"n"
1825;"pyroclastic";"pie-ro-klah-stik";"formed by or involving fragmentation as a result of volcanic or igneous action";"adj"
1826;"stigmatize";"stig-muh-tize";"to describe or identify in disgraceful terms; to mark with a stigma";"v"
1827;"opprobrium";"uh-pro-bree-um";"something that brings disgrace; public disgrace or ill fame that follows from conduct considered grossly wrong or vicious; contempt, reproach";"n"
1828;"somnolent";"som-nuh-lint";"of a kind likely to induce sleep; inclined to or heavy with sleep, drowsy";"adj"
1829;"elide";"ih-lide";"to suppress or alter (something, such as a vowel or syllable); to strike out (a word); to leave out of consideration, omit";"v"
1830;"elision";"ih-lih-zhin";"the use of a speech form that lacks a final or initial sound which a variant speech form has (such as 's instead of is in there's); the act or an instance of omitting something";"n"
1831;"curtail";"ker-TAIL";"to make less by or as if by cutting off or away some part";"v"
1832;"barista";"buh-ree-stuh";"a person who makes and serves coffee (such as espresso) to the public";"n"
1833;"flotilla";"flo-tih-luh";"a fleet of ships or boats; an indefinite large number";"n"
1834;"corollary";"kor-ih-lair-ee";"a proposition inferred immediately from a proved proposition with little or no additional proof; something that naturally follows; something that incidentally or naturally accompanies or parallels";"n"
1835;"hypermnesia";"hi-perm-nee-zhee-uh";"abnormally vivid or complete memory or recall of the past";"n"
1836;"valetudinarian";"va-luh-too-dih-nair-ee-in";"a person of a weak or sickly constitution; one whose chief concern is his or her ill health";"n"
1837;"circadian";"sir-kay-dee-in";"being, having, characterized by, or occurring in approximately 24-hour periods or cycles";"adj"
1838;"putsch";"poutch";"a secretly plotted and suddenly executed attempt to overthrow a government";"n"
1839;"nonpareil";"non-puh-rel";"having no equal";"adj"
1840;"writhe";"rythe";"to move or proceed with twists and turns; to twist from or as if from pain or struggling; to suffer keenly";"v"
1841;"inexorable";"ih-nek-suh-ruh-bul";"not to be persuaded, moved, or stopped; relentless";"adj"
1842;"serendipity";"sare-in-dih-pih-tee";"the faculty or phenomenon of finding valuable or agreeable things not sought for";"n"
1843;"preempt";"pre-empt";"take action in order to prevent from happening; forestall; acquire or appropriate (something) in advance.";"v"
1844;"vixen";"vik-sen";"a shrewish, ill-tempered woman; a sexually attractive woman";"n"
1845;"propitious";"pruh-pih-shiss";"giving or indicating a good chance of success; favorable";"adj"
1846;"veritable";"vare-ih-tih-bul";"being in fact the thing named and not false, unreal, or imaginary, often used to stress the aptness of a metaphor";"adj"
1847;"lout";"lout";"an uncouth and aggressive man or boy; an awkward brutish person";"n"
1848;"shambolic";"sham-bah-lik";"chaotic, disorganized, or mismanaged";"adj"
1849;"laparotomy";"lah-puh-rah-tih-me";"a surgical incision into the abdominal cavity, for diagnosis or in preparation for surgery";"n"
1850;"swanky";"swann-kee";"stylishly luxurious and expensive; using one's wealth, knowledge, or achievements to try to impress others";"adj"
1851;"ordinance";"or-dih-nints";"an authoritative decree or direction, order; something ordained or decreed by fate or a deity; a prescribed usage, practice, or ceremony";"n"
1852;"myopathy";"my-a-puh-thee";"a disorder of muscle tissue or muscles";"n"
1853;"hellacious";"heh-lay-shis";"very great, bad, or overwhelming";"adj"
1854;"adage";"a-dij";"a proverb or short statement expressing a general truth";"n"
1855;"distill";"dih-still";"purify (a liquid) by vaporizing it, then condensing it by cooling the vapor, and collecting the resulting liquid; extract the essential meaning or most important aspects of";"v"
1856;"destitute";"deh-stih-toot";"without the basic necessities of life; lacking something needed or desirable";"adj"
